iter	Passed	Remaining
0	0	76
1	2	110
2	3	104
3	3	95
4	4	89
5	5	85
6	6	84
7	7	83
8	8	81
9	9	83
10	10	81
11	10	79
12	11	77
13	12	75
14	13	73
15	13	72
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	18	67
22	19	65
23	20	64
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	57
31	26	56
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	65	13
83	66	12
84	66	11
85	67	10
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	72	6
92	73	5
93	73	4
94	74	3
95	75	3
96	75	2
97	76	1
98	77	0
99	78	0
