iter	Passed	Remaining
0	147	146986
1	148	74162
2	150	49856
3	152	37982
4	153	30612
5	155	25831
6	157	22390
7	159	19832
8	162	17859
9	163	16218
10	165	14849
11	168	13904
12	172	13060
13	172	12157
14	173	11397
15	174	10737
16	176	10194
17	177	9683
18	180	9308
19	182	8945
20	185	8635
21	186	8276
22	187	7960
23	189	7701
24	190	7448
25	192	7213
26	193	6985
27	194	6766
28	196	6564
29	197	6386
30	198	6197
31	199	6023
32	200	5869
33	201	5713
34	202	5573
35	202	5434
36	203	5305
37	204	5178
38	205	5060
39	206	4953
40	207	4852
41	208	4753
42	209	4660
43	210	4568
44	211	4480
45	211	4394
46	212	4311
47	213	4232
48	214	4160
49	215	4089
50	216	4019
51	216	3950
52	217	3884
53	218	3821
54	218	3759
55	219	3701
56	220	3646
57	221	3591
58	221	3538
59	222	3486
60	223	3434
61	223	3384
62	224	3336
63	224	3289
64	225	3243
65	226	3201
66	226	3157
67	227	3115
68	227	3074
69	228	3033
70	228	2994
71	229	2956
72	229	2919
73	230	2883
74	230	2848
75	231	2814
76	232	2781
77	232	2749
78	233	2718
79	233	2686
80	234	2656
81	234	2627
82	235	2597
83	235	2569
84	236	2542
85	236	2516
86	237	2490
87	237	2464
88	238	2439
89	238	2416
90	239	2392
91	239	2368
92	240	2346
93	241	2323
94	241	2302
95	242	2280
96	242	2259
97	243	2238
98	243	2217
99	244	2197
100	244	2178
101	245	2160
102	246	2142
103	246	2125
104	247	2107
105	247	2089
106	248	2071
107	248	2055
108	249	2037
109	249	2021
110	250	2004
111	250	1988
112	251	1973
113	252	1958
114	252	1943
115	253	1928
116	253	1913
117	253	1898
118	254	1883
119	254	1869
120	255	1854
121	255	1840
122	256	1826
123	256	1813
124	257	1799
125	257	1787
126	258	1774
127	258	1761
128	259	1749
129	259	1737
130	260	1725
131	260	1713
132	261	1701
133	261	1689
134	261	1678
135	262	1667
136	262	1656
137	263	1644
138	263	1634
139	264	1624
140	265	1614
141	265	1603
142	265	1592
143	266	1583
144	266	1572
145	267	1563
146	267	1553
147	268	1543
148	268	1534
149	269	1525
150	269	1516
151	270	1507
152	270	1499
153	271	1490
154	271	1481
155	272	1472
156	272	1464
157	273	1455
158	273	1447
159	274	1439
160	274	1430
161	274	1421
162	275	1413
163	275	1405
164	276	1398
165	276	1391
166	277	1383
167	277	1376
168	278	1370
169	279	1362
170	279	1355
171	280	1348
172	280	1341
173	281	1334
174	281	1327
175	282	1320
176	282	1313
177	283	1307
178	283	1300
179	284	1294
180	284	1287
181	284	1280
182	285	1274
183	285	1267
184	286	1261
185	286	1255
186	287	1249
187	287	1242
188	288	1236
189	288	1231
190	289	1225
191	289	1220
192	290	1214
193	290	1208
194	292	1206
195	292	1200
196	293	1195
197	293	1189
198	294	1184
199	294	1178
200	295	1173
201	295	1168
202	296	1163
203	296	1157
204	297	1152
205	298	1150
206	299	1145
207	299	1140
208	299	1135
209	300	1130
210	300	1125
211	301	1120
212	301	1115
213	302	1110
214	302	1105
215	303	1101
216	303	1096
217	304	1092
218	305	1088
219	305	1083
220	306	1079
221	306	1074
222	307	1070
223	307	1066
224	308	1062
225	308	1057
226	309	1053
227	309	1049
228	310	1044
229	311	1041
230	311	1037
231	312	1033
232	312	1028
233	313	1024
234	313	1020
235	314	1016
236	314	1012
237	315	1008
238	315	1004
239	315	1000
240	316	996
241	316	992
242	317	989
243	318	985
244	318	981
245	319	978
246	319	974
247	320	970
248	320	966
249	321	963
250	321	959
251	322	955
252	322	952
253	322	948
254	323	944
255	323	941
256	324	937
257	324	934
258	325	931
259	326	928
260	326	924
261	327	921
262	327	917
263	327	914
264	328	910
265	328	907
266	329	904
267	329	900
268	330	897
269	330	894
270	331	891
271	331	888
272	332	885
273	333	882
274	333	879
275	334	876
276	334	874
277	335	871
278	335	868
279	336	865
280	336	862
281	337	859
282	338	856
283	338	853
284	339	850
285	339	848
286	340	845
287	340	842
288	341	839
289	341	836
290	342	833
291	342	830
292	343	828
293	343	825
294	344	822
295	344	820
296	345	817
297	345	814
298	346	812
299	347	809
300	347	807
301	348	804
302	348	801
303	349	799
304	349	796
305	350	794
306	351	793
307	352	791
308	352	788
309	353	786
310	353	783
311	354	781
312	354	778
313	355	776
314	355	773
315	356	770
316	356	768
317	357	765
318	357	763
319	358	760
320	358	758
321	359	756
322	359	754
323	360	751
324	360	749
325	361	747
326	361	744
327	362	742
328	362	739
329	363	737
330	363	735
331	364	733
332	365	731
333	365	729
334	366	727
335	366	724
336	367	722
337	367	720
338	368	717
339	368	715
340	369	713
341	369	711
342	370	709
343	370	707
344	371	705
345	372	703
346	372	701
347	373	698
348	373	696
349	374	694
350	374	692
351	375	690
352	375	688
353	376	686
354	376	684
355	377	683
356	378	681
357	378	679
358	379	677
359	380	675
360	380	673
361	381	671
362	381	669
363	382	667
364	382	665
365	383	663
366	383	661
367	384	660
368	384	658
369	385	656
370	386	654
371	386	652
372	387	650
373	387	648
374	388	646
375	388	644
376	388	642
377	389	640
378	390	639
379	390	637
380	391	635
381	391	633
382	392	631
383	392	629
384	393	628
385	393	626
386	394	624
387	394	622
388	395	620
389	395	618
390	396	616
391	396	615
392	397	613
393	397	611
394	398	609
395	398	608
396	399	606
397	399	604
398	400	602
399	400	601
400	401	599
401	402	599
402	403	598
403	404	596
404	405	595
405	405	593
406	406	591
407	406	590
408	407	588
409	407	586
410	408	585
411	408	583
412	409	581
413	409	580
414	410	578
415	410	576
416	412	576
417	412	574
418	413	573
419	413	571
420	414	569
421	414	568
422	415	566
423	415	564
424	416	563
425	416	561
426	417	560
427	417	558
428	418	556
429	418	555
430	419	553
431	419	552
432	420	550
